number;new_version;baseline;date;message
66;7ecaa2fe;f6114345; Wed May 26 12:26:45 2021 +0300; update the issue template (#1329)
61;d626c5c2;f6114345; Fri May 21 13:55:43 2021 +0300; changes vmalert query function (#1307)
56;b4f5be8b;f6114345; Thu May 13 11:14:51 2021 +0300; fix vagent imbalance problem (#1292)
51;4247168a;f6114345; Mon May 10 11:06:31 2021 +0300; vmalert: fix error when rule didn't start if restore failed (#1279)
46;afca7b43;f6114345; Fri Apr 30 10:01:05 2021 +0300; vmalert: use rule's `evaluationInterval` as `step` param by default (#1258)
41;d6f44977;f6114345; Sun Apr 25 09:34:28 2021 +0100; docs: update per tenant stats page (#1246)
36;f80156d9;f6114345; Mon Apr 19 13:28:41 2021 +0300; dashboard: fix avg GC duration expression (#1228)
31;e9ee2122;f6114345; Wed Apr 14 11:23:07 2021 +0300; [draft] per tenant statistic (#121)
26;a9d76b06;f6114345; Sat Apr 10 13:24:18 2021 +0100; Improve documentation on OpenTSDB migration tool and fix a bug with hard offsets (#1198)
21;b59164cf;f6114345; Mon Apr 5 22:25:31 2021 +0300; fix access to nil *url.URL (#1180)
16;cfdb6762;f6114345; Mon Mar 29 12:38:03 2021 +0300; deployment: add new alert `TooHighChurnRate24h` (#1154)
11;18cfc4be;f6114345; Wed Mar 17 00:03:06 2021 +0200; Adds udp6 support for ingest servers (#1134)
6;ad34f424;f6114345; Tue Mar 9 18:51:00 2021 +0200; Changes tlsConfig init for proxy connections (#1121)
1;f4f8f218;f6114345; Wed Mar 3 07:46:10 2021 +0000; vmalert: docs update - status endpoint needs group ID, not group name (#1106)
