,commit,type,min,med,max,jump,trend
0,1,inserts,-0.6876670638267357,-0.09116882304619488,0.4657126010744861,,
210,1,group-by queries,-0.8206565872110883,-0.06740635202947542,0.6182244206383247,,
105,1,simple queries,-3.403329395215537,-1.4949598875570902,0.21520428123507074,,
1,2,inserts,-0.3339691358342112,-0.05236245405192408,0.3021671954358318,,
211,2,group-by queries,-1.7686905185091641,-0.8780406644776972,1.358767332663624,,
106,2,simple queries,-3.0111793796025355,0.2594626040884229,2.6152356138001043,,
2,3,inserts,-0.5719644168500793,-0.2001205456494848,0.2424204772005556,,
212,3,group-by queries,-0.6923623384725963,-0.0748684144611711,1.7686284250758355,,
107,3,simple queries,-2.509504492005199,-1.1345785741194714,0.6611589024496878,,
3,4,inserts,-0.30597145882037546,0.3938832706597673,0.9865262201801616,,
213,4,group-by queries,-0.4526597255347986,0.5658853919181306,1.5835563479599912,,
108,4,simple queries,-2.7905257848422016,-1.046795109220544,1.6807382521475402,,
214,5,group-by queries,-1.1006508162799356,0.6149517368642332,1.3266062598511263,,
109,5,simple queries,-1.9325854953037183,0.054782663889896284,2.2088964830028197,,
4,5,inserts,-1.139285036378035,-0.3678467899354776,0.27017284209422954,,
110,6,simple queries,-2.224477529530477,-0.6211949286812679,1.0171702027070628,,
5,6,inserts,-0.6751510109507031,-0.09944753574243624,0.6178572212542255,,
215,6,group-by queries,-1.111590693154629,0.6484920308675424,2.144224880726231,,
111,7,simple queries,-1.6489007683661685,0.08777347900221777,1.446883511342012,,
6,7,inserts,-0.8790666242111222,-0.16826195566456148,0.3943565875614175,,
216,7,group-by queries,-1.1548815242191757,0.5842747637502477,1.4062153486840592,,
112,8,simple queries,-2.487270504311967,-0.0076540867676055955,1.6653745332237513,,
217,8,group-by queries,-0.7211657372675928,0.10411758237605097,3.156033990053575,,
7,8,inserts,-0.9922899930354444,-0.3171642969498012,0.2292697084922857,,
218,9,group-by queries,-0.8644699219146679,0.6128534211959025,1.6492671464090058,,
113,9,simple queries,-1.2999673025507643,0.5614095030162414,1.7936489776368747,,
8,9,inserts,-0.6463451958722111,-0.1876273686637786,0.22252734629626406,,
219,10,group-by queries,-0.8479364566909897,0.6619983788316075,1.9133841523511164,,
114,10,simple queries,-0.5825816655171567,0.4371409010965888,1.4695252414792082,,
9,10,inserts,-0.04550222019842343,0.5243110468450718,1.1923831610011204,,
115,11,simple queries,-2.082437286908589,-0.3748443183079209,1.1587535477681543,,
10,11,inserts,-0.10391333042381046,0.2681723830515015,0.6403576929599586,,
220,11,group-by queries,-1.0376377517600677,0.19388050701074636,1.638660556703031,,
11,12,inserts,-0.8520026863364727,-0.2687203292681017,0.2771807450761221,,
221,12,group-by queries,-1.2313883391136704,-0.0274360011334851,1.5347757103733928,,
