,commit,type,min,med,max,jump,trend
0,1,inserts,-0.5677039226128167,0.7924068096092807,1.964695481337975,,
69,1,simple queries,-0.08567302504857155,0.8091379202105786,1.6947924566352188,,
138,1,group-by queries,-0.2572794418342017,0.5109997055879001,1.281332004878477,,
1,2,inserts,-0.5084251880497215,0.5445698115551734,1.5917310818167834,,
70,2,simple queries,-0.6597357543617344,0.14305027531786862,0.956044626879371,,
139,2,group-by queries,0.26034131559089513,1.0994253195827142,1.9106196840400715,,
2,3,inserts,-1.2791638183719978,0.3176623047419058,1.8090778987621905,,
71,3,simple queries,-0.5835332454376285,0.2097777092726183,1.0635910376446844,,
140,3,group-by queries,-0.1119232177924645,0.5929398112198392,1.6711795300456744,,
3,4,inserts,0.9288780902147352,1.9027948166907336,2.8850060890231566,potential up,
72,4,simple queries,-0.9991065822345546,-0.1894832611449293,0.7278205246782354,,
141,4,group-by queries,-0.7225911398854201,0.08075893608330276,0.9949366092006916,,
4,5,inserts,0.7194318791535093,1.7397591495867282,3.015608570053163,,
73,5,simple queries,-0.5411246284891981,0.3851562872883907,1.2559294102609142,,
142,5,group-by queries,-0.5342398902405066,0.3458308369574947,1.1168996369322004,,
74,6,simple queries,0.411291838503014,1.222001274624129,2.165788154081927,,
143,6,group-by queries,-0.029495720045014107,1.205438010831794,2.1492569332271616,,
5,6,inserts,0.178803572900188,0.9712808911087834,1.8567063231362813,,
144,7,group-by queries,-0.3191564936616764,0.7945457453021998,2.138929128247802,,
6,7,inserts,-1.3557265204326208,-0.1673724286083922,1.1909566477419808,,
75,7,simple queries,0.1482387187211387,0.8000177452022639,1.4518966044010146,,
145,8,group-by queries,-0.8658189315158159,0.2434935536237193,1.2182524997242483,,
7,8,inserts,0.7309486505699514,2.0938990654606693,3.3228444254572054,potential up,
76,8,simple queries,-0.6431466837482192,0.1825804469541392,0.8908464084901979,,
146,9,group-by queries,-1.5931963541921057,0.0965632519840165,1.5698533258843073,,
8,9,inserts,-0.20875684522078108,0.4740020127712574,1.1920228517190656,potential down,
77,9,simple queries,-0.7292345102169473,5.430732862935872,9.523755322606052,potential up,potential up
147,10,group-by queries,-3.449890810220435,-2.620111908223266,-1.3901495767915997,potential down,definite down
78,10,simple queries,-1.4741831396498095,4.262065780389457,7.796521470334006,,potential up
9,10,inserts,-3.157525658353688,-1.248317968484447,0.19601884301263528,potential down,definite down
79,11,simple queries,-3.436625048525344,-2.7180912792243768,-1.8548334481931936,definite down,
148,11,group-by queries,-2.7377126578095434,-1.6130727185658111,-0.7322562403185849,,definite down
10,11,inserts,-2.558143528916568,-0.8223243640255842,0.8960050455241841,,definite down
80,12,simple queries,-3.6933185669230095,-2.9970795526867766,-2.2380202583741737,,
149,12,group-by queries,-3.146835262817937,-2.577916432730753,-1.7877447834316995,,definite down
11,12,inserts,0.07214241595296933,1.410903896698268,3.165546542969455,potential up,
81,13,simple queries,-4.731172558509355,-3.9539168968363962,-3.36541150580606,,
150,13,group-by queries,-3.9578485131093744,-3.1021801598360432,-2.3436808797608237,,definite down
12,13,inserts,-2.880563724553576,-0.7359360541647209,2.4094952399974945,potential down,
151,14,group-by queries,-4.875694348181437,-4.0854715802581385,-3.35175812934152,,definite down
13,14,inserts,-1.2513422304943898,-0.04688966963140029,1.437529942063942,,
82,14,simple queries,-5.325473863079368,-4.449954889393615,-3.5955226599862167,,
14,15,inserts,-0.4371756566466267,0.454700460111046,1.4882218947086967,,
83,15,simple queries,-5.187812026076699,-4.289753364926718,-3.056086075787245,,
152,15,group-by queries,-4.7938828905031885,-3.8818951709364335,-2.814465150765233,,definite down
15,16,inserts,-1.1938133560517206,0.011834251080977687,1.191584302876536,,
84,16,simple queries,-5.640135374387201,-4.772343792088597,-3.4656879921089123,,
153,16,group-by queries,-4.417113125982796,-3.6376620463056897,-2.69329495276196,,definite down
16,17,inserts,-2.2953001040798005,-0.5879202269234439,0.5500308504104323,,
85,17,simple queries,-5.58087863928125,-4.898028699413581,-4.124306339289408,,
154,17,group-by queries,-5.552630446495731,-3.76290582426182,-2.517875251468193,,definite down
86,18,simple queries,-5.365712384873078,-4.616805990836125,-3.9092861505968135,,
155,18,group-by queries,-5.2482211643669725,-4.459349490212128,-3.488531874851186,,definite down
17,18,inserts,-2.9765927129852376,-0.9682049686732253,0.8821288382120596,,
156,19,group-by queries,-4.9514283414992635,-4.237516439269995,-3.1525294991460284,,definite down
18,19,inserts,-1.3004475934850768,0.5706743732663888,3.6961900700185786,,
87,19,simple queries,-5.167135538566847,-4.382106242588424,-3.8169929807414738,,
157,20,group-by queries,-3.282512952626093,-2.2979234157076034,-1.3622869079516595,potential up,
19,20,inserts,-0.201952958832341,0.6836861508828562,1.6821924360141738,,
88,20,simple queries,-5.06576342880396,-4.24712067548314,-3.4987260562619804,,
158,21,group-by queries,-2.8291537458249643,-1.9252954784492071,-1.064626345536246,,definite up
20,21,inserts,-2.202029651214765,0.2144694554636839,1.900865280265696,,
89,21,simple queries,-4.975151331604044,-4.162956967593512,-3.0367217007350344,,
159,22,group-by queries,-3.1930602627384013,-2.1019573630816524,-1.0121409299632789,,definite up
21,22,inserts,0.03306790253048142,1.4483717462126844,3.2865429025694888,,
90,22,simple queries,-4.921113157944902,-4.131887058947226,-3.2592043230953216,,
22,23,inserts,-1.1400147926119542,0.5204911804387979,2.218643369780149,,
91,23,simple queries,-5.78052478542983,-4.646487814261223,-3.740335212262513,,
160,23,group-by queries,-3.0695104194946365,-1.6435073771981499,-0.6713735642359109,,definite up
92,24,simple queries,-5.722127598265536,-5.075377639748924,-4.198314141295178,,
161,24,group-by queries,-3.0439464340460627,-2.4320593248996603,-1.5363208132529782,,
23,24,inserts,-1.0726438097027446,0.13806057940695116,1.7656853114637938,,
93,25,simple queries,-5.839592326208775,-5.066966857953027,-4.306881811039176,,
162,25,group-by queries,-3.788856950096553,-2.7644363162719117,-1.6808001090984461,,
24,25,inserts,-0.8977743901516844,2.0915946921146182,5.778612496131897,,
94,26,simple queries,-5.294424226933037,-4.287139088138215,-2.7312487230032207,,
163,26,group-by queries,-3.668041216694207,-2.809385947966958,-2.149890664863696,,
25,26,inserts,-0.32955487197486866,0.4548699799475253,1.341835274103942,,
95,27,simple queries,-5.090300041100537,-4.437786496450889,-3.657141371271744,,
26,27,inserts,0.3134309740645991,1.126368809365785,2.086587897801806,,
164,27,group-by queries,-3.6925258623004003,-2.9952234183365123,-2.2398927192474383,,
27,28,inserts,0.4501824462108006,2.523334075603101,4.130826670292365,,
96,28,simple queries,-5.559359355620663,-4.7459013197410425,-4.067848568524668,,
165,28,group-by queries,-3.7571069111794864,-2.9464943277586086,-1.963337652625208,,
28,29,inserts,-1.3779747708719814,-0.4909450164744866,1.0438507841760811,potential down,
97,29,simple queries,-5.760152760244919,-4.838686470630972,-3.8288549766416047,,
166,29,group-by queries,-3.3855738866399365,-2.3354473808277927,-1.4478803995439105,,
29,30,inserts,-1.3180867015345266,-0.4135866120803078,0.4074361637168344,,
98,30,simple queries,-5.624628473862892,-4.8253683793004765,-4.060184715298654,,
167,30,group-by queries,-4.206895243947106,-3.1754951378340945,-2.2863848618361997,,
99,31,simple queries,-5.4692143140994025,-4.636616395637128,-3.9056131762658097,,
168,31,group-by queries,-3.2145250113179262,-2.5382177850764243,-1.678529269067308,,
30,31,inserts,-0.539922924471592,1.4257951569058624,3.80236140218746,,
169,32,group-by queries,-3.5894486455295915,-2.6963727167240936,-1.7715028869317642,,
31,32,inserts,-2.4968885987921348,-0.4736192226484581,1.083519238874886,,
100,32,simple queries,-5.558519480980973,-4.7768740731996315,-4.078938046897807,,
170,33,group-by queries,-4.126726143696835,-2.9009688094963066,-1.5961662430014734,,
32,33,inserts,-2.043786421676841,-0.3067871057416349,1.563876633007566,,
101,33,simple queries,-5.610923901669795,-4.7944462161088826,-3.9575303026601514,,
171,34,group-by queries,-3.3360667625646934,-2.162335571316265,-1.1382750900942542,,
33,34,inserts,-3.3023999006265514,-0.5658428624384926,1.9470686222627709,,
102,34,simple queries,-5.590437609772224,-4.845897392190047,-4.092082488661673,,
172,35,group-by queries,-4.543506870985858,-3.111677039769845,-1.8589657738299792,,
103,35,simple queries,-5.9195795102955255,-4.8742069983572005,-3.5408655378438514,,
34,35,inserts,-0.5655851683792679,0.8263350932096181,2.064356520283539,,
104,36,simple queries,-5.4984863208837,-4.795166747915447,-4.156200631993645,,
173,36,group-by queries,-3.496078659035462,-2.5836556906159824,-1.6907847855940903,,
35,36,inserts,-1.662005329644356,-0.07146178808136172,1.3939404991790028,,
105,37,simple queries,-5.666860122185747,-4.988033222985443,-4.337362445138215,,
174,37,group-by queries,-3.3630472576554267,-2.6343269358085064,-1.6628525665176142,,
36,37,inserts,-1.845150145822494,-0.2328287566929821,1.0511078940513174,,
106,38,simple queries,-5.212619273820208,-4.533212307722212,-3.914738169792309,,
175,38,group-by queries,-3.52873346870144,-2.1548288529967152,-0.9148038941280244,,
37,38,inserts,-1.1894111976987087,-0.09588272381447772,0.8399601251424027,,
107,39,simple queries,-5.4040368173732585,-4.5257632194400825,-3.8747237647208888,,
176,39,group-by queries,-3.7989586703296436,-2.047446548024434,-1.163661063959753,,
38,39,inserts,0.07600841937194236,0.8016854846892851,1.5356763122333916,,
177,40,group-by queries,-3.1145781859612143,-2.2286792648077984,-1.4028314892481908,,
39,40,inserts,-1.5065727629742565,0.009010377040197248,1.3827207949373532,,
108,40,simple queries,-5.68044703254862,-4.709787250977226,-3.5716858080507063,,
40,41,inserts,-1.2743531141453437,-0.08614195979301797,1.3351103414765753,,
109,41,simple queries,-4.5443606510739745,-3.78548881664672,-3.087173346118888,,
178,41,group-by queries,-2.9832698182036714,-1.964674730334881,-1.2210764002155703,,
41,42,inserts,0.3777894950244276,1.4349657918188097,2.520068402103504,,
110,42,simple queries,-5.320015305727244,-4.446190108900838,-3.6157293802202783,,
179,42,group-by queries,-2.479947525760595,-1.6301191258626946,-0.7922384035827568,,
42,43,inserts,-0.6862396955976346,0.2620664108270221,1.5123255233550736,,
111,43,simple queries,-5.74622956864559,-4.383741545107678,-3.3992548786837435,,
180,43,group-by queries,-3.728849608135976,-2.9567469264048296,-1.7428473759706242,potential down,
43,44,inserts,0.07434025897634644,1.6154232568147853,3.2588833880309758,,
181,44,group-by queries,-3.956036997997081,-2.7922669462161043,-2.003548897272012,,
112,44,simple queries,-5.438285064089787,-4.633141813141683,-3.2938187256918106,,
182,45,group-by queries,-3.712582552720889,-2.896357334882549,-1.955696194204093,,
44,45,inserts,1.3914936349553209,3.1558597263524835,6.063848232093494,,definite up
113,45,simple queries,-5.19206939859187,-4.4014869099182405,-3.739149959408261,,
183,46,group-by queries,-3.63648120227168,-2.624330521627416,-2.0020466236029817,,
45,46,inserts,-0.2486614302411705,1.5885563999189944,4.161847698765864,,
114,46,simple queries,-5.317477902758183,-4.2158824751274535,-3.446298086373412,,
184,47,group-by queries,-3.2705760737395395,-2.4525918567484646,-1.5501294572164648,,
46,47,inserts,0.7150582706062725,2.222685878353836,4.008419007391817,,
115,47,simple queries,-5.270901908093807,-4.418141836105726,-3.456440918750925,,
47,48,inserts,-2.8339752365452275,-0.5818204100200619,1.0101043341705696,potential down,
116,48,simple queries,-5.2913057256662075,-4.4475730143171175,-3.760870696768493,,
185,48,group-by queries,-3.74016945350627,-2.9372170399178614,-2.149374598305487,,
117,49,simple queries,-4.691256910002183,-3.833108542080888,-2.9769914030596585,,
186,49,group-by queries,-2.9112345568968467,-1.914921911096512,-0.8737747636505921,,
48,49,inserts,0.2920227860092384,1.1844606865338172,2.4110656966896955,,
118,50,simple queries,-4.897563367907177,-4.05629791275569,-3.372891305734293,,
187,50,group-by queries,-3.6819742021780515,-2.829945609693329,-1.5000684200921708,,
49,50,inserts,-2.6025483577368336,-0.36955949808208377,2.414460720572009,,
119,51,simple queries,-7.1912860115613375,-4.703277082035873,-3.0895740533162352,,
188,51,group-by queries,-2.9922741669573982,-2.165199113277816,-1.2270004098638432,,
50,51,inserts,0.37677098844495216,1.3543898508177719,2.4365303894930967,,
189,52,group-by queries,-3.316018401386533,-2.2609505396637752,-1.4274938203488017,,
51,52,inserts,0.19164190440517093,1.7847454397091012,2.918006553168784,,
120,52,simple queries,-5.1357655899576535,-4.220637029543061,-3.2232075883103395,,
52,53,inserts,1.6568328647596164,2.9919497408193108,4.156312480192392,,
