,run,number,diffInserts,diffQueries1,diffQueries2
0,run1,1,-0.5501441327112944,-1.2916550378580527,0.1752132487720548
209,run3,1,0.2659106705632519,-2.412933675277562,-0.2687846443276243
105,run2,1,0.21722159948656117,-0.27793619141160963,-0.023737543813195927
232,run3,2,-0.04019353126011316,0.9887020183895867,0.2601264237741763
23,run1,2,-0.029698294932123392,2.0885263528704234,-0.44787242989230425
128,run2,2,-0.04277342088220282,-2.414550274662375,-0.5672304032987685
34,run1,3,-0.21387197025334315,-1.8655988975212923,0.16155084629920768
139,run2,3,-0.35198655970786197,0.3300450300073976,0.6283207097349974
243,run3,3,0.0639121595607195,-1.1525822490970783,0.18277264878763244
45,run1,4,0.46044453248204054,1.116438377224327,0.14378120586873155
150,run2,4,0.814218053780813,-2.1560344564487632,0.3928854467912579
254,run3,4,-0.1484947501943279,-1.9208123917221598,0.4942688309435006
56,run1,5,-0.9987312686719041,1.4761694701665773,-0.10399632027473515
265,run3,5,0.08406262544828902,-1.4743278422279182,0.8504495287914748
67,run1,6,-0.510644887228251,-1.7588294707820862,1.045274808457508
171,run2,6,0.47693103205994625,0.3192949972242065,0.19187594093468263
276,run3,6,-0.21512749261716202,-0.6142896517634777,1.399589549830682
182,run2,7,0.1715737053421318,-0.8263593077697862,0.7358578712208574
78,run1,7,-0.7133293908389682,-1.0804649600701377,-0.8689160176303057
287,run3,7,-0.03580738570747588,0.8355376523888403,0.5267151399425574
193,run2,8,-0.8352304128253496,-0.22002301493008192,0.17027194083214514
89,run1,8,0.06270045472316355,0.7812124848469715,0.5431607314357434
298,run3,8,-0.3461814663329399,-2.0479564136798967,2.3128098328565327
308,run3,9,-0.34531182910244596,-0.6616821970735098,0.3233312467775473
203,run2,9,-0.0023010973291826,1.5585005271464114,0.3996949038517883
99,run1,9,-0.34280834725244347,-0.5013388649198758,1.2926807775720972
1,run1,10,1.0385286143956396,0.6331324979794273,1.1986280722958043
210,run3,10,0.12732974610929482,0.40088144712637774,1.4597426299649996
106,run2,10,0.3981863757588133,0.8305396250200658,-0.4634796932786789
221,run3,11,0.14540102740665528,-1.6386971793861838,-0.5183193909138684
12,run1,11,0.21780508713451496,0.23436507259952943,0.78743665060792
117,run2,11,0.45094751582193116,-1.117021043540356,1.401047962110158
224,run3,12,-0.7071377195988826,1.3962295611651188,0.9917875336431292
120,run2,12,0.11425659994468429,-0.48599952620768105,-0.3615099401680033
15,run1,12,-0.3395085985105517,0.05765880638515242,0.4868043698896374
16,run1,13,-0.37553675727223235,2.4560713029059933,-2.2100106530143715
225,run3,13,-0.29290040797437245,-0.7317415965721996,1.6084628230636167
121,run2,13,-0.028638945884107425,-0.9847192822225348,-0.6501446395997035
122,run2,14,-0.40222573497677994,-0.7612854018796744,-0.4764515146650661
226,run3,14,-0.8853692986730111,-0.8717458934543565,1.19540378356906
