,run,number,diffInserts,diffQueries1,diffQueries2
126,3,1,2.15427351134887,1.305487202495459,0.3597016431691413
57,1,1,1.8393580601279158,0.3658671097566346,0.6925607721333549
195,2,1,-0.7919735442179721,0.7332453862529897,0.5733367763946173
117,3,2,2.263036296161691,0.030325222985427835,0.7333612859049321
48,1,2,0.5348070308533792,-0.14940537231615814,1.0991849001556808
186,2,2,0.06829503932914704,0.5232435333338392,1.1055726141955047
206,2,3,1.6537518972485898,-0.0102738524103696,1.1067917102990599
137,3,3,-3.2991416205323865,0.6168951829537805,0.580134210446781
68,1,3,-0.1532721046431318,0.18352023350840518,1.3078163074753402
4,1,4,1.649960153962371,-0.6056693016111669,0.49133622016059864
73,3,4,4.4936315495436085,0.15671218158825884,-0.16383145479669237
142,2,4,2.4099379398646814,0.20235844828566663,-0.20318401274911357
36,1,5,0.6032195657729833,0.6155527398135296,0.3214359739779349
174,2,5,1.988072775659444,-0.14993898054379562,0.2811251441136031
105,3,5,6.4838047584060865,0.7170545710123211,0.6325270886378576
130,3,6,2.1787100930116265,1.4121688294206791,0.6762067671781002
61,1,6,0.3839774033427279,0.8620128289875018,1.0607287997636217
199,2,6,3.3196930665777336,1.609258225697241,0.5471944690864428
15,1,7,1.9045769833233583,0.7611748650647066,0.40004414369212427
84,3,7,-1.9997483669705773,0.7985407933293276,1.8581243288650517
153,2,7,3.118395796954476,0.8161139229976966,0.3999659951307466
107,3,8,3.879855279870781,-0.10771067467394424,0.3663369836713448
38,1,8,0.6806159810941459,0.27461184394790283,-0.3862925994801092
176,2,8,-0.5159605397042855,0.2845514048838371,0.8416994756886176
24,1,9,1.945510991473376,7.4459642278986715,0.2362313840321928
162,2,9,0.5265654681614107,-0.47448445904197945,-1.3162960332002038
93,3,9,-0.990567990265534,9.243025681865058,0.6952559987178697
194,2,10,-3.7282906512362324,-1.124893339679267,-1.8011144756884923
125,3,10,-2.4981442199345394,6.398339558495469,-2.207768423848322
56,1,10,-0.16601763024675087,7.464424635588296,-2.977853010797904
106,3,11,-0.7238706435247488,-2.388136669480956,-1.6060020546919684
175,2,11,1.0737607519335057,-2.605413804890533,-1.426181113958036
37,1,11,-0.9911125882089311,-2.9309014329033767,-2.3181265071039903
22,1,12,3.3999012538799223,-3.3520824409455363,-2.6185379901437655
160,2,12,5.943301150850822,-2.6842494380597604,-2.567212955485809
91,3,12,0.8361996389299131,-3.04505919558683,-2.510155385176327
45,1,13,-3.8382736035047826,-3.9862218320966702,-3.2197704250850667
183,2,13,1.4027597435220418,-4.0171693033148825,-2.8760207375731595
114,3,13,4.254843493365135,-4.241582657068788,-3.633618904044056
163,2,14,-1.8033740433591627,-4.29991179491267,-3.9839260178260005
25,1,14,0.8768738041680324,-4.9807398878329305,-4.342338397320988
94,3,14,-1.313622309935758,-3.9692833662580695,-4.04901501705528
86,3,15,-2.7917251596947024,-3.3275425061817465,-3.375520136284005
